43;6;18;0.353;0.006;18.03;
43;7;11;0.257;0.009;14.51;
43;8;10;0.256;0.010;14.08;
43;9;18;0.144;0.006;14.13;
44;0;30;0.290;0.003;19.39;
44;1;42;0.253;0.002;20.26;
44;2;49;0.260;0.002;21.06;
44;3;50;0.255;0.002;21.05;
44;4;42;0.253;0.002;20.26;
44;5;30;0.273;0.003;19.13;
44;6;18;0.351;0.006;18.00;
44;7;11;0.258;0.009;14.54;
44;8;10;0.257;0.010;14.09;
44;9;18;0.143;0.006;14.09;
45;0;30;0.287;0.003;19.35;
45;1;42;0.252;0.002;20.25;
45;2;49;0.261;0.002;21.06;
45;3;50;0.256;0.002;21.06;
45;4;42;0.252;0.002;20.25;
45;5;30;0.310;0.003;19.69;
45;6;18;0.344;0.006;17.92;
45;7;11;0.255;0.009;14.48;
45;8;10;0.238;0.010;13.77;
45;9;18;0.104;0.006;12.72;
46;0;30;0.285;0.003;19.32;
46;1;42;0.252;0.002;20.25;
46;2;49;0.259;0.002;21.04;
46;3;50;0.255;0.002;21.05;
46;4;42;0.253;0.002;20.26;
46;5;30;0.278;0.003;19.22;
46;6;18;0.351;0.006;18.00;
46;7;11;0.263;0.009;14.62;
46;8;10;0.252;0.010;14.02;
46;9;18;0.135;0.006;13.85;
47;0;30;0.287;0.003;19.35;
47;1;42;0.252;0.002;20.26;
47;2;49;0.259;0.002;21.04;
47;3;50;0.255;0.002;21.06;
47;4;42;0.254;0.002;20.28;
47;5;30;0.281;0.003;19.26;
47;6;18;0.347;0.006;17.96;
47;7;11;0.265;0.009;14.64;
47;8;10;0.243;0.010;13.86;
47;9;18;0.128;0.006;13.62;
48;0;30;0.285;0.003;19.31;
48;1;42;0.252;0.002;20.25;
48;2;49;0.260;0.002;21.05;
48;3;50;0.256;0.002;21.07;
48;4;42;0.252;0.002;20.25;
48;5;30;0.272;0.003;19.11;
48;6;18;0.351;0.006;18.01;
48;7;11;0.260;0.009;14.56;
48;8;10;0.249;0.010;13.96;
48;9;18;0.136;0.006;13.89;
49;0;30;0.285;0.003;19.33;
49;1;42;0.251;0.002;20.24;
49;2;49;0.262;0.002;21.09;
49;3;50;0.255;0.002;21.05;
49;4;42;0.251;0.002;20.22;
49;5;30;0.326;0.003;19.90;
49;6;18;0.319;0.006;17.59;
49;7;11;0.263;0.009;14.62;
49;8;10;0.217;0.010;13.36;
49;9;18;0.095;0.006;12.34;
